%rows_marked,#columns_marked,robustness_horizontal,robustness_vertical,robustness_flipping,utility_loss_best,utility_loss_2nd_best
1.0,4,0.9,0.45,0.75,0.01402994791666664,0.022993421052631604
1.0,8,0.9,0.6,0.7,0.012190755208333256,0.02192434210526319
1.0,12,0.9,0.75,0.65,0.009228515624999887,0.022532894736842033
1.0,16,0.9,0.8,0.65,0.0062662760416666635,0.020904605263157967
1.0,20,0.95,0.8,0.65,0.0063964843750001265,0.023585526315789432
0.9009009009009008,4,0.9,0.45,0.75,0.011051432291666786,0.020723684210526224
0.9009009009009008,8,0.9,0.55,0.65,0.008072916666666645,0.019506578947368392
0.9009009009009008,12,0.9,0.65,0.65,0.008398437500000086,0.01998355263157912
0.9009009009009008,16,0.9,0.65,0.65,0.005680338541666728,0.01944078947368419
0.9009009009009008,20,0.9,0.75,0.6,0.008430989583333345,0.023009868421052765
0.8,4,0.9,0.45,0.75,0.010791015625000004,0.01991776315789477
0.8,8,0.9,0.55,0.6,0.007031249999999803,0.018914473684210415
0.8,12,0.9,0.65,0.65,0.006575520833333332,0.018766447368420994
0.8,16,0.9,0.65,0.6,0.005664062500000099,0.018124999999999974
0.8,20,0.9,0.7,0.55,0.008121744791666675,0.02159539473684203
0.6993006993006994,4,0.9,0.4,0.7,0.009749348958333452,0.01782894736842099
0.6993006993006994,8,0.9,0.5,0.6,0.006819661458333341,0.017368421052631564
0.6993006993006994,12,0.9,0.6,0.6,0.006266276041666519,0.016480263157894748
0.6993006993006994,16,0.9,0.65,0.6,0.006022135416666654,0.017335526315789537
0.6993006993006994,20,0.9,0.7,0.55,0.005859374999999933,0.019506578947368538
0.5988023952095809,4,0.85,0.4,0.7,0.009814453124999968,0.01606907894736837
0.5988023952095809,8,0.9,0.5,0.55,0.006542968750000075,0.015657894736842135
0.5988023952095809,12,0.9,0.55,0.55,0.0056966145833333565,0.013421052631578929
0.5988023952095809,16,0.9,0.6,0.55,0.004785156249999979,0.014226973684210529
0.5988023952095809,20,0.9,0.65,0.5,0.006901041666666774,0.01638157894736837
0.5,4,0.85,0.35,0.65,0.009000651041666651,0.01435855263157879
0.5,8,0.9,0.6,0.6,0.006819661458333341,0.01192434210526327
0.5,12,0.9,0.65,0.55,0.007307942708333359,0.013552631578947337
0.5,16,0.9,0.65,0.55,0.004069010416666724,0.011151315789473698
0.5,20,0.9,0.75,0.5,0.004638671875000031,0.012993421052631682
0.4,4,0.85,0.4,0.6,0.007942708333333326,0.011792763157894716
0.4,8,0.85,0.45,0.5,0.004964192708333329,0.01080592105263152
0.4,12,0.85,0.55,0.5,0.006461588541666642,0.00769736842105266
0.4,16,0.9,0.55,0.5,0.0028808593749999356,0.00850328947368426
0.4,20,0.85,0.65,0.45,0.004752604166666577,0.010707236842105288
0.3333333333333333,4,0.85,0.35,0.55,0.0068359375000001145,0.010180921052631662
0.3333333333333333,8,0.85,0.55,0.5,0.00694986979166666,0.007911184210526284
0.3333333333333333,12,0.85,0.6,0.45,0.006022135416666799,0.007993421052631648
0.3333333333333333,16,0.85,0.55,0.45,0.00541992187500009,0.0073190789473683085
0.3333333333333333,20,0.85,0.6,0.45,0.003369140624999954,0.00884868421052629
0.25,4,0.8,0.3,0.55,0.007584635416666626,0.00863486842105252
0.25,8,0.8,0.5,0.45,0.006803385416666713,0.007105263157894685
0.25,12,0.8,0.5,0.4,0.005110677083333276,0.005921052631579026
0.25,16,0.8,0.55,0.4,0.006445312500000013,0.005246710526315833
0.25,20,0.8,0.6,0.4,0.004638671875000031,0.007023026315789467
0.2,4,0.8,0.3,0.4,0.0058268229166666755,0.007236842105263238
0.2,8,0.8,0.4,0.4,0.0040364583333333225,0.005065789473684237
0.2,12,0.8,0.45,0.35,0.007552083333333369,0.0037171052631579968
0.2,16,0.8,0.45,0.4,0.004231770833333301,0.003618421052631619
0.2,20,0.8,0.5,0.35,0.004182942708333415,0.005674342105263227
0.16666666666666666,4,0.75,0.3,0.35,0.004378255208333393,0.005345394736842065
0.16666666666666666,8,0.75,0.4,0.3,0.004899088541666814,0.004884868421052641
0.16666666666666666,12,0.75,0.4,0.35,0.005289713541666626,0.0034046052631578486
0.16666666666666666,16,0.75,0.45,0.35,0.003759765624999911,0.003092105263157846
0.16666666666666666,20,0.75,0.5,0.3,0.004264322916666703,0.004457236842105393
0.14285714285714285,4,0.7,0.25,0.4,0.0065266927083333015,0.004868421052631481
0.14285714285714285,8,0.7,0.35,0.3,0.005810546875000047,0.004046052631578867
0.14285714285714285,12,0.7,0.35,0.25,0.004443359375000053,0.004654605263158003
0.14285714285714285,16,0.7,0.4,0.3,0.0040364583333333225,0.0029769736842106
0.14285714285714285,20,0.7,0.45,0.3,0.003580729166666561,0.004687500000000032
0.125,4,0.65,0.2,0.25,0.005485026041666605,0.004654605263158003
0.125,8,0.65,0.3,0.3,0.006624348958333363,0.004062499999999881
0.125,12,0.65,0.35,0.3,0.0063964843750001265,0.0031578947368420497
0.125,16,0.65,0.35,0.25,0.005078125000000019,0.0027960526315788585
0.125,20,0.65,0.4,0.2,0.004410807291666651,0.0038486842105262572
