attack,3,7,10,20
"baseline",0.765,0.774,0.765,0.776
"[0.9, 0, 0.1]",0.7477478838265355,0.7446392284369813,0.7426999903966197,0.7432630503079941
"[0.7, 0, 0.1]",0.7430635698247455,0.7412111218032834,0.7371608783133583,0.7397690199166009
"[0.9, 1, 0.1]",0.7460995596164135,0.7458812610610364,0.7457311190681978,0.7427393230988737
"[0.7, 1, 0.1]",0.7352038900067068,0.7395229930306476,0.7471330009039745,0.7408873239436619
"[0.9, 3, 0.1]",0.747998436020908,0.7439789137204869,0.7444979627114459,0.7445896749941694
"[0.7, 3, 0.1]",0.7478399673402735,0.7419959758551308,0.7349788003382614,0.7429040037325402
"[0.9, 0, 0.3]",0.7291041143625414,.7204457614794694,0.7216187732367507,0.7224885376795489
"[0.7, 0, 0.3]",0.7238023794943574,0.7258859825620388,0.7127156562563789,0.7147055958942058
"[0.9, 1, 0.3]",0.7296656377330535,0.7193435266356615,0.7226380897504494,0.7185065783155672
"[0.7, 1, 0.3]",0.7196948940016913,0.723165077421048,0.7165580147551978,0.7204605021432945
"[0.9, 3, 0.3]",0.7250863892661645,0.7235411093276262,0.7225235351415127,0.7117221467670906
"[0.7, 3, 0.3]",0.7216291663021608,0.7231590995246843,0.7152239232496428,0.7234879421456275
