,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.696,0.701,0.776,0.766,0.693
"[0.9, 0, 0.1]",0.6809509404453225,0.699570523109849,0.7432630503079941,0.7427525894829266,0.695656775184865
"[0.7, 0, 0.1]",0.6750750590499519,0.6990186918613128,0.7397690199166009,0.7371664771236113,0.6972897384305835
"[0.9, 0, 0.3]",0.6580858542206858,0.6996804132197391,0.7224885376795489,0.7251861683884157,0.6953110946481733
"[0.7, 0, 0.3]",0.653726620593124,0.6991616073251101,0.7147055958942058,0.7164426267751435,0.6964548450121015
"[0.9, 1, 0.1]",0.6831673046055069,0.69968163422096,0.7427393230988737,0.7419624919400201,0.6944455694118615
"[0.7, 1, 0.1]",0.6684682588283323,0.6991595369317353,0.7408873239436619,0.7359748636748025,0.696146706324906
"[0.9, 1, 0.3]",0.6601285481060761,0.6996804132197391,0.7185065783155672,0.7286321630928374,0.6937591472198213
"[0.7, 1, 0.3]",0.6531788411629196,0.6991616073251101,0.7204605021432945,0.7203327792844021,0.6944487504738577
"[0.9, 3, 0.1]",0.6813867281283013,0.6996804132197391,0.7445896749941694,0.7436427542494959,0.6959840858267825
"[0.7, 3, 0.1]",0.6838163181990494,0.6991616073251101,0.7429040037325402,0.7441374041349547,0.6977059458198467
"[0.9, 3, 0.3]",0.6642555733904049,0.6997915243308501,0.7117221467670906,0.7273255820334473,0.6950913418666227
"[0.7, 3, 0.3]",0.6546815676668708,0.6991616073251101,0.7234879421456275,0.7274072259644825,0.6962996238299362
