,attack,5,10,20,30
0,baseline,0.9708,0.9774,0.9805,0.9813
1,"[0.9, 0, 0.1]",0.8269306094919486,0.8325583895467231,0.8358150775280232,0.8370903642744246
2,"[0.7, 0, 0.1]",0.8247083342164987,0.8288017128526388,0.8333881944005703,0.837452591147226
3,"[0.9, 0, 0.3]",0.6538244445594622,0.6570826472545439,0.6587323873654416,0.659330950068861
4,"[0.7, 0, 0.3]",0.6508185292794963,0.6517287671495344,0.6533124825134591,0.6555168311135897
5,"[0.9, 1, 0.1]",0.8392630968302679,0.8453495190023026,0.8484047378050292,0.8497329653104038
6,"[0.7, 1, 0.1]",0.8386539635617797,0.843254292278625,0.8473203592260262,0.8479110906829184
7,"[0.9, 1, 0.3]",0.673352266583355,0.6752264288048958,0.6764181941402666,0.6780025629171645
8,"[0.7, 1, 0.3]",0.6743029188114491,0.6751132595473437,0.6770036244919222,0.6797843019184661
9,"[0.9, 3, 0.1]",0.8640792303510683,0.8692455269356442,0.8730598166046868,0.874915209652658
10,"[0.7, 3, 0.1]",0.8642408623861506,0.8696824628831898,0.8717911676548042,0.8726177521233809
11,"[0.9, 3, 0.3]",0.7249163559814522,0.7284100584175032,0.730263581904006,0.7304661306511468
12,"[0.7, 3, 0.3]",0.7246648604999937,0.725542153145857,0.7276955986417406,0.7269087388419974
