,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.7168,0.6913526272577997,0.6915517241379311,0.7110714285714285,0.686536945812808
"[0.9, 0, 0.1]",0.7035527065527065,0.6921193732193732,0.6775286324786324,0.708952564102564,0.6912833333333334
"[0.7, 0, 0.1]",0.6880187969924811,0.6667005012531327,0.6782907268170426,0.714159147869674,0.7008170426065163
"[0.9, 0, 0.3]",0.6915115384615385,0.6519014245014244,0.6916954415954415,0.6922038461538461,0.6952217948717948
"[0.7, 0, 0.3]",0.6756829573934836,0.6319473684210526,0.6701942355889725,0.6916766917293232,0.6856541353383457
"[0.9, 1, 0.1]",0.7189613960113959,0.7011220797720796,0.6911425925925926,0.7164407407407408,0.7085535612535613
"[0.7, 1, 0.1]",0.7057080200501253,0.6829661654135337,0.6834786967418547,0.7104172932330827,0.6954310776942356
"[0.9, 1, 0.3]",0.6898914529914528,0.6542133903133903,0.680076923076923,0.6921028490028489,0.6967041310541309
"[0.7, 1, 0.3]",0.6784824561403509,0.6502844611528823,0.6698822055137844,0.6945338345864662,0.6978032581453634
"[0.9, 3, 0.1]",0.748531623931624,0.7148532763532763,0.7108814814814813,0.7331014245014245,0.7114688034188034
"[0.7, 3, 0.1]",0.7377105263157895,0.7154135338345864,0.7277907268170426,0.7192882205513784,0.7049887218045112
"[0.9, 3, 0.3]",0.741245584045584,0.6947205128205128,0.7205058404558404,0.7284054131054131,0.7101893162393161
"[0.7, 3, 0.3]",0.7232268170426064,0.6882919799498748,0.7012230576441103,0.7204949874686716,0.7005125313283208
