,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.7341888341543513,0.6916546798029557,0.6949564860426929,0.716390804597701,0.6752128078817734
"[0.9, 0, 0.1]",0.7125018518518518,0.6875763532763532,0.7170420227920227,0.7245217948717949,0.701200284900285
"[0.7, 0, 0.1]",0.7113208020050125,0.6702192982456141,0.6790187969924812,0.7150213032581453,0.6846528822055138
"[0.9, 0, 0.3]",0.6940160968660968,0.6585910256410257,0.682968091168091,0.6939391737891738,0.6925545584045583
"[0.7, 0, 0.3]",0.6746240601503759,0.6453872180451128,0.6672230576441103,0.6906365914786968,0.6923471177944862
"[0.9, 1, 0.1]",0.7304646723646722,0.6924062678062677,0.6990091168091167,0.7165112535612536,0.6971508547008548
"[0.7, 1, 0.1]",0.6949548872180451,0.6896892230576441,0.6800626566416039,0.7065676691729323,0.6911315789473684
"[0.9, 1, 0.3]",0.7067353276353275,0.6756823361823361,0.6975594017094016,0.6987898860398859,0.7019749287749286
"[0.7, 1, 0.3]",0.6793834586466165,0.6246215538847119,0.6616766917293233,0.6831353383458646,0.6816353383458646
"[0.9, 3, 0.1]",0.7322437321937322,0.7021467236467236,0.7044242165242165,0.7314622507122507,0.7058333333333332
"[0.7, 3, 0.1]",0.7114799498746868,0.6846240601503759,0.7067932330827068,0.7169248120300751,0.7032518796992481
"[0.9, 3, 0.3]",0.7328689458689458,0.6854665242165242,0.7112403133903134,0.7245347578347578,0.70663547008547
"[0.7, 3, 0.3]",0.701577694235589,0.6560689223057643,0.6895764411027567,0.7139486215538847,0.6968659147869675
